Nationality,Age_at_studystart,Study_programme,Study_programme_code,Studystart_date,Studystart_month,Studystart_year,Studyend_month,Studyend_year,University_institute,Status,Exam_year,Exam_grade_point_average,Grading_scale,Exam_type,Priority_number,Quote,Passed_ects_SEM1,Grade_point_average_SEM1,SU_clips_used,Years_since_exam,CHURNED_ALL,CHURNED_IN_SEM1,CHURNED_IN_SEM2,CHURNED_AFTER_SEM1,CHURNED_AFTER_SEM2,CHURNED_SEM2THROUGHSEM3
Danmark,28.8,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2014,9,2013,8,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2012,9.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,15,7.73,NULL,-1,1,0,0,1,1,0
Danmark,20.4,forhistorisk arkaeologi,HKAA00001T,9/1/2016,9,2013,9,2015,Institut for Medier. Erkendelse og Formidling,completed,2012,6.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,30,1,0,0,0,0,0,0
Danmark,22.2,klassisk arkaeologi,HJAA00003T,9/1/2016,9,2013,9,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2013,6.4,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,7.67,NULL,2,1,1,0,1,1,0
Danmark,20.3,klassisk arkaeologi,HFIA00001T,9/1/2016,9,2013,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2012,7.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.5,NULL,2,0,0,0,0,0,0
Danmark,20.8,musikvidenskab,HENA00001T,9/1/2015,9,2013,9,2013,IVA,terminated,2008,6.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,7.25,30,1,1,1,1,1,0,0
Danmark,20,persisk,HENA00001T,9/1/2016,9,2013,1,2014,Institut for Engelsk. Germansk og Romansk,terminated,1988,10.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,6,2,1,1,0,1,0,0
Danmark,53.3,naerorientalsk arkaeologi,HLVA00001T,2/1/2015,9,2013,5,2015,Institut for Nordiske Studier og Sprogvidenskab,terminated,2012,3.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7.62,NULL,6,1,1,0,1,1,0
Danmark,25.6,musikvidenskab,HENA00001T,9/1/2015,9,2013,8,2015,Institut for Kunst og Kulturvidenskab,terminated,2013,10.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7,NULL,4,1,1,0,1,1,0
Danmark,21.8,kommunikation og it,HPaeA00001T,9/1/2016,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2010,9.8,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,9.23,NULL,1,0,1,0,0,0,1
Danmark,25.3,portugisiske og brasilianske studier,HDAA00001T,9/1/2015,9,2013,2,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2013,8.6,7-trinsskala,Studentereksamen (2008 og senere),0,1,30,9,18,2,1,1,0,1,1,0
Danmark,20.9,engelsk,HIVA00001T,9/1/2016,9,2013,9,2013,Institut for Engelsk. Germansk og Romansk,terminated,2011,7.8,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),21,1,30,0,NULL,1,1,0,1,1,0,0
Danmark,25.6,kunsthistorie,HLIA00001T,9/1/2016,9,2013,8,2014,Institut for Engelsk. Germansk og Romansk,terminated,2011,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9.13,NULL,2,1,1,0,1,1,0
Danmark,21.1,retorik,HMVA00001T,9/1/2014,9,2013,11,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2013,5.3,7-trinsskala,,1,1,0,6.83,18,2,1,1,0,1,1,0
Danmark,25.3,historie,HDAA00001T,9/1/2015,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2016,8.4,7-trinsskala,Studentereksamen (2008 og senere),0,1,30,0,30,1,0,1,0,0,0,1
Danmark,22.6,forhistorisk arkaeologi,HAUA00001T,9/1/2014,9,2013,8,2016,Institut for Medier. Erkendelse og Formidling,terminated,2013,9.1,7-trinsskala,Studentereksamen (2008 og senere),3,2,0,0,NULL,0,1,0,0,1,1,1
Danmark,20.8,tysk,HRVA00001T,9/1/2016,9,2013,7,2014,IVA,terminated,2007,3.4,7-trinsskala,Studentereksamen (2008 og senere),21,1,0,8.4,NULL,1,1,1,0,1,1,0
Danmark,21.3,religionsvidenskab,HRVA00001T,2/1/2013,9,2013,1,2015,IVA,completed,1999,0,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,22.5,6.25,NULL,1,0,0,0,0,0,0
Danmark,21.8,kommunikation og it,HFIA00001T,9/1/2016,9,2013,8,2015,Institut for Engelsk. Germansk og Romansk,terminated,1900,8.3,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,18,26,1,1,0,1,1,0
Danmark,21.3,litteraturvidenskab,HMVA00001T,9/1/2013,9,2013,6,2015,Institut for Engelsk. Germansk og Romansk,completed,2014,10.7,13-skala,Studentereksamen,2,1,30,7,NULL,1,0,0,0,0,0,0
Danmark,36.2,kunsthistorie,HLVA00001T,9/1/2016,9,2014,5,2016,Institut for Nordiske Studier og Sprogvidenskab,terminated,2014,4,7-trinsskala,Eksamen fra Rudolf Steiner-skole,1,1,30,3.5,NULL,5,1,1,0,1,1,0
Danmark,21.9,engelsk,HFMA00001T,9/1/2013,9,2014,7,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2011,8.4,7-trinsskala,Studentereksamen (2008 og senere),0,1,30,4.33,NULL,2,1,1,0,1,1,0
Danmark,19.5,oest- og sydoesteuropastudier (russisk),HIVA00001T,9/1/2015,9,2014,1,2016,Institut for Engelsk. Germansk og Romansk,completed,2008,7.5,7-trinsskala,Almen gymnasial uddannelse,1,1,22.5,0,6,0,0,0,0,0,0,0
Danmark,22.6,balkanstudier,HKMA00001T,9/1/2015,9,2014,5,2016,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2013,9.1,7-trinsskala,Hoejere forberedelseseksamen (hf),1,1,30,4,6,3,1,0,0,1,1,0
Danmark,19.9,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2014,9,2014,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,1900,11.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,10.1,30,1,0,0,0,0,0,0
Danmark,25,kunsthistorie,HFIA00001T,9/1/2014,9,2014,8,2014,Institut for Nordiske Studier og Sprogvidenskab,terminated,2013,7.9,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,0,NULL,1,1,1,1,1,0,0
Danmark,21.7,dansk,HIVA00001T,9/1/2016,9,2014,NULL,NULL,IVA,open,1986,8,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),0,1,30,4.33,NULL,1,0,0,0,0,0,0
Danmark,26.4,film- og medievidenskab,HSPA00001T,9/1/2016,9,2014,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2014,8.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,4,NULL,-1,0,0,0,0,0,1
Danmark,20.8,dansk,HHIA00001T,9/1/2014,9,2014,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2012,8.8,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,1,30,10.33,18,5,0,1,0,0,0,0
Polen,22.4,forhistorisk arkaeologi,HLVA00001T,9/1/2013,9,2014,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2014,4.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,4.57,6,6,0,1,0,0,0,0
Danmark,22,historie,HENA00001T,9/1/2015,9,2014,11,2014,Institut for Kunst og Kulturvidenskab,terminated,2011,7.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,0,NULL,2,1,1,1,1,0,0
Danmark,26.4,koreastudier,HJAA00003T,9/1/2013,9,2014,5,2016,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2009,8.1,7-trinsskala,Hoejere Tek.eks. HTX (2008 og s.),1,1,30,8.5,NULL,0,1,1,0,1,1,0
Danmark,33.6,japanstudier,HENA00001T,9/1/2013,9,2014,NULL,NULL,IVA,open,2014,11.8,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,7.5,9,NULL,2,0,1,0,0,0,0
Danmark,25.4,informationsvidenskab og kulturformidling,HDAA00001T,9/1/2013,9,2014,8,2014,Institut for Medier. Erkendelse og Formidling,terminated,1900,10,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,6,7,1,1,1,1,0,0
Danmark,21.1,film- og medievidenskab,HFMA00001T,9/1/2014,9,2014,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2011,10.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,7.5,10.6,NULL,1,0,1,0,0,0,0
Danmark,23.2,engelsk,HENA00001T,9/1/2014,9,2014,5,2016,Institut for Engelsk. Germansk og Romansk,terminated,2008,5.6,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,33,2,1,1,0,1,1,0
Danmark,22.5,teatervidenskab,HEEA00001T,9/1/2013,9,2014,5,2016,Institut for Medier. Erkendelse og Formidling,terminated,2011,4,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,2.9,NULL,2,1,1,0,1,1,0
Danmark,26,film- og medievidenskab,HIVA00001T,9/1/2015,9,2014,6,2014,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2007,5.8,7-trinsskala,Groenlandsk gymnasial eksamen,1,NULL,5,3.5,18,2,1,1,0,0,0,0
Danmark,39.6,dansk,HEEA00001T,9/1/2014,9,2014,10,2014,Institut for Engelsk. Germansk og Romansk,terminated,2015,7.3,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,8,NULL,1,1,1,1,1,0,0
Danmark,23.4,kinastudier,HDAA00001T,9/1/2014,9,2014,8,2015,Institut for Nordiske Studier og Sprogvidenskab,terminated,1900,7.2,7-trinsskala,,1,2,30,0,NULL,3,1,1,0,1,1,0
Danmark,22.2,historie,HARA00005T,9/1/2014,9,2014,NULL,NULL,IVA,open,2014,4.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9,NULL,2,0,1,0,0,0,0
Danmark,21.7,dansk,HMVA00001T,9/1/2013,9,2014,1,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,6.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,36,-1,0,1,0,0,0,1
Danmark,23.4,retorik,HFRA00001T,9/1/2016,9,2014,1,2016,Institut for Tvaerkulturelle og regionale studier,completed,2015,9.3,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,0,NULL,1,0,1,0,0,0,0
Danmark,22.6,litteraturvidenskab,HDAA00001T,9/1/2015,9,2015,11,2015,Institut for Kunst og Kulturvidenskab,terminated,2015,8.7,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,0,NULL,0,1,0,1,1,0,0
Danmark,19.3,italiensk,HIVA00001T,9/1/2015,9,2015,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2013,5.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,5.25,NULL,2,0,1,0,0,0,0
Danmark,19.5,naerorientalsk arkaeologi,HDAA00001T,9/1/2013,9,2015,NULL,NULL,Institut for Nordiske Studier og Sprogvidenskab,open,2015,7.2,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,0,NULL,2,0,0,0,0,0,0
Danmark,22.9,engelsk,HEEA00001T,9/1/2014,9,2015,6,2016,Institut for Kunst og Kulturvidenskab,terminated,2014,6.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8,NULL,0,1,0,0,1,1,0
Danmark,20.6,informationsvidenskab og kulturformidling,HFIA00001T,9/1/2014,9,2015,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2014,7.8,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,30,4,0,1,0,0,0,0
Danmark,19.6,dansk,HITA00001T,9/1/2016,9,2015,3,2015,Institut for Kunst og Kulturvidenskab,terminated,2014,10.3,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,6.64,NULL,1,1,0,0,0,0,0
Danmark,26.3,informationsvidenskab og kulturformidling,HKUA00001T,9/1/2013,9,2015,11,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2013,5.1,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,2,30,5.8,NULL,2,1,1,1,1,0,0
Danmark,22,historie,HEEA00001T,9/1/2014,9,2015,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2013,9.8,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.33,30,3,0,1,0,0,0,0
Danmark,21,historie,HENA00001T,9/1/2013,9,2015,11,2015,IVA,terminated,2003,8,7-trinsskala,Almen gymnasial uddannelse,1,1,30,0,NULL,1,1,1,1,1,0,0
Danmark,20.1,paedagogik,HKOA00003T,9/1/2016,9,2015,1,2017,IVA,terminated,2013,9.4,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,7,6,29,1,1,0,1,1,0
Danmark,22.6,audiologopaedi,HMVA00001T,9/1/2016,9,2015,5,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2011,10.6,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,1,1,1,0,1,1,0
Danmark,20.6,informationsvidenskab og kulturformidling,HENA00001T,9/1/2015,9,2015,4,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2012,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,22.5,7.29,NULL,2,1,0,0,0,0,1
Danmark,25.5,kinastudier,HPaeA00001T,9/1/2015,9,2015,9,2015,Institut for Engelsk. Germansk og Romansk,terminated,2016,5.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,3.6,NULL,3,1,1,1,1,0,0
Danmark,21.9,informationsvidenskab og kulturformidling,HTEA00001T,9/1/2014,9,2015,NULL,NULL,IVA,open,1975,10,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),21,NULL,30,0,NULL,0,0,0,0,0,0,0
Danmark,26.6,tibetologi,HENA00001T,9/1/2013,9,2015,11,2015,Institut for Medier. Erkendelse og Formidling,terminated,2013,3.4,7-trinsskala,Studentereksamen,1,1,0,0,NULL,4,1,1,1,1,0,0
Danmark,25.6,film- og medievidenskab,HEEA00001T,9/1/2016,9,2015,8,2015,Institut for Engelsk. Germansk og Romansk,terminated,2012,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,0,1,1,1,1,0,0
Danmark,19.1,kinastudier,HFMA00001T,9/1/2015,9,2015,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2012,8.6,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,9.6,18,1,0,1,0,0,0,1
Danmark,20.2,kunsthistorie,HFMA00001T,9/1/2013,9,2015,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2014,9.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,7.5,6.67,6,1,0,1,0,0,0,0
Danmark,22.2,klassisk arkaeologi,HTEA00001T,9/1/2014,9,2015,9,2015,Institut for Engelsk. Germansk og Romansk,terminated,2013,4.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,3,30,0,1,0,1,1,0,1
Danmark,21.7,litteraturvidenskab,HPaeA00001T,9/1/2015,9,2015,8,2015,IVA,terminated,2012,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9.67,18,2,1,1,1,1,0,0
Danmark,29.3,persisk,HARA00001T,9/1/2014,9,2015,9,2015,Institut for Nordiske Studier og Sprogvidenskab,terminated,2013,8.5,7-trinsskala,Studentereksamen (2008 og senere),1,2,0,12,18,2,1,1,1,1,0,0
Danmark,22.5,japanstudier,HPaeA00001T,9/1/2014,9,2015,NULL,NULL,Institut for Medier. Erkendelse og Formidling,open,2015,5.7,7-trinsskala,,3,1,30,8.75,30,1,0,0,0,0,0,0
Danmark,30.6,engelsk,HMVA00001T,9/1/2016,9,2015,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2011,5.5,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,7,30,1,0,1,0,0,0,1
Danmark,26,arabisk,HFMA00001T,9/1/2013,9,2015,NULL,NULL,Institut for Nordiske Studier og Sprogvidenskab,open,2010,6.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,20,4,NULL,1,0,0,0,0,0,0
Danmark,22.6,latin,HFIA00001T,9/1/2015,9,2015,NULL,NULL,Institut for Nordiske Studier og Sprogvidenskab,open,2008,4.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9,30,2,0,1,0,0,0,0
Danmark,24.1,musikvidenskab,HFAA00001T,9/1/2016,9,2016,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2009,3.5,7-trinsskala,Studentereksamen (2008 og senere),21,1,0,0,30,0,0,0,0,0,0,0
Danmark,22.9,historie,HRVA00001T,9/1/2013,9,2016,3,2016,Institut for Engelsk. Germansk og Romansk,terminated,2013,7,7-trinsskala,Studentereksamen (2008 og senere),22,1,30,6.25,18,1,1,0,0,0,0,0
Danmark,20.9,historie,HENA00001T,9/1/2015,9,2016,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2011,11,7-trinsskala,Hoejere forberedelseseksamen (hf),4,1,30,0,NULL,1,0,1,0,0,0,0
Danmark,21,kinastudier,HIVA00001T,9/1/2014,9,2016,9,2016,Institut for Nordiske Studier og Sprogvidenskab,terminated,1992,0,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,0,8.5,NULL,3,1,1,1,1,0,0
Danmark,22.9,forhistorisk arkaeologi,HRTA00001T,9/1/2016,9,2016,9,2016,Institut for Kunst og Kulturvidenskab,terminated,2010,3.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,7,30,3,1,1,1,1,0,0
Pakistan,21.3,filosofi,HMVA00001T,9/1/2015,9,2016,6,2016,Institut for Nordiske Studier og Sprogvidenskab,terminated,2011,8.5,7-trinsskala,Almen gymnasial uddannelse,1,1,0,0,7,7,1,1,0,0,0,0
Danmark,21.7,dansk,HTRA00004T,9/1/2013,9,2016,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2002,7.5,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,3,NULL,8,0,1,0,0,0,0
Iraq,20.3,fransk sprog og kultur,HHIA00001T,9/1/2015,9,2016,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2012,4,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,30,8.75,6,2,0,0,0,0,0,1
Danmark,20.4,spansk sprog og kultur,HSPA00001T,9/1/2014,9,2016,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2013,6.3,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,10.17,NULL,4,0,1,0,0,0,0
Danmark,21.1,koreastudier,HDAA00001T,9/1/2013,9,2016,9,2016,Institut for Kunst og Kulturvidenskab,terminated,2013,5.3,7-trinsskala,Konventionsland - nord. studentereksamen,21,2,30,5.67,NULL,13,1,1,1,1,0,0
Burundi,21.2,historie,HENA00001T,9/1/2013,9,2016,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2005,0,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,9.13,NULL,1,0,0,0,0,0,0
Danmark,25.2,film- og medievidenskab,HHIA00001T,9/1/2013,9,2016,12,2016,Institut for Nordiske Studier og Sprogvidenskab,terminated,2014,9.3,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,12,NULL,1,1,0,1,1,0,0
Danmark,20.9,musikvidenskab,HLVA00001T,9/1/2013,9,2016,7,2016,Institut for Engelsk. Germansk og Romansk,terminated,2012,7.1,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,15,7.25,30,10,1,1,1,1,0,0
Danmark,21.3,teatervidenskab,HIVA00001T,9/1/2015,9,2016,3,2016,Institut for Engelsk. Germansk og Romansk,terminated,2013,10.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,15,10.36,42,44,1,1,0,0,0,0
Danmark,19.8,persisk,HESA00001T,9/1/2013,9,2016,8,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2014,9.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,2,1,1,1,1,0,0
Danmark,21.9,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2016,9,2016,9,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2014,7.7,,,3,1,0,-3,17,3,1,1,1,1,0,0
Danmark,19.9,engelsk,HIVA00001T,9/1/2016,9,2016,8,2016,Institut for Engelsk. Germansk og Romansk,terminated,2004,10.7,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,0,6.63,NULL,2,1,1,1,1,0,0
Danmark,21.2,lingvistik,HFAA00001T,9/1/2014,9,2016,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2013,7.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,10.2,6,0,0,0,0,0,0,0
Danmark,20.5,kunsthistorie,HKIA00002T,9/1/2014,9,2016,NULL,NULL,Institut for Medier. Erkendelse og Formidling,open,2013,3.4,7-trinsskala,Studentereksamen (2008 og senere),0,1,30,7.88,NULL,0,0,0,0,0,0,0
Danmark,21.5,japanstudier,HIVA00001T,2/1/2016,9,2013,7,2015,Institut for Medier. Erkendelse og Formidling,terminated,1992,8.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7.5,18,1,1,0,0,1,1,0
Danmark,39.2,teatervidenskab,HKOA00002T,9/1/2013,9,2013,9,2016,Institut for Tvaerkulturelle og regionale studier,completed,2013,9.2,7-trinsskala,,1,1,30,0,NULL,0,0,1,0,0,0,0
Danmark,24.1,teatervidenskab,HFRA00001T,9/1/2014,9,2013,1,2017,Institut for Engelsk. Germansk og Romansk,completed,2004,10.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,5.55,30,0,0,1,0,0,0,0
Danmark,20.1,engelsk,HDAA00001T,9/1/2014,9,2013,3,2016,Institut for Engelsk. Germansk og Romansk,completed,2009,10,7-trinsskala,Studentereksamen (2008 og senere),21,NULL,0,9.5,6,4,0,1,0,0,0,0
Danmark,20.8,dansk,HHIA00001T,9/1/2014,9,2013,1,2015,Institut for Engelsk. Germansk og Romansk,completed,2014,10.8,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7.14,12,1,0,0,0,0,0,0
Danmark,23.4,historie,HFMA00001T,9/1/2014,9,2013,6,2015,Institut for Medier. Erkendelse og Formidling,completed,2012,6.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9,NULL,5,0,1,0,0,0,0
Danmark,20.2,musikvidenskab,HKIA00002T,9/1/2014,9,2013,6,2016,Institut for Kunst og Kulturvidenskab,completed,2011,6.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7.29,NULL,2,0,1,0,0,0,0
Danmark,28.9,portugisiske og brasilianske studier,HDAA00001T,9/1/2014,9,2013,8,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2009,4.2,7-trinsskala,Studentereksamen (2008 og senere),3,NULL,30,2.4,6,1,1,1,0,1,1,0
Danmark,20,audiologopaedi,HIVA00001T,9/1/2013,9,2013,4,2016,Institut for Engelsk. Germansk og Romansk,terminated,2013,6.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7,18,1,1,1,0,1,1,0
Danmark,19.3,latin,HKUA00001T,9/1/2014,9,2013,11,2015,IVA,terminated,2014,6.6,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9.6,6,2,1,1,0,1,1,0
Danmark,20.4,fransk,HHIA00001T,9/1/2014,9,2013,6,2014,Institut for Kunst og Kulturvidenskab,terminated,2012,5.5,7-trinsskala,Studentereksamen (2008 og senere),21,1,22.5,1.4,6,-1,1,0,1,1,0,0
Pakistan,22.9,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2014,9,2013,NULL,NULL,Institut for Nordiske Studier og Sprogvidenskab,open,2003,6,,,1,1,30,-3,18,2,0,1,0,0,0,0
Danmark,22.9,spansk sprog og kultur,HKUA00001T,9/1/2013,9,2013,8,2015,Institut for Nordiske Studier og Sprogvidenskab,terminated,2012,7.7,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),21,1,0,10,NULL,0,1,1,0,1,1,1
